Time,Media,Gaokao,Gender,Age,CE,Gaming,SAT_1,SAT_2,SAT_3,SAT_4,SAT_5,SAT_6,SAT_7,SAT_8,SAT_9,SAT_10
725,1,125,0,21,1,50,2,2,1,2,2,4,2,2,2,3
725,1,116,1,20,1,31,2,2,1,2,2,4,2,2,2,3
725,1,137,0,18,2,23,2,2,1,2,2,4,2,2,2,3
613,1,132,0,19,1,24,2,2,3,1,3,4,1,2,3,2
613,1,140,0,19,1,22,2,2,3,1,3,4,1,2,3,2
613,1,94,1,21,1,32,2,2,3,1,3,4,1,2,3,2
932,1,119,1,21,1,58,2,2,3,1,2,4,4,2,4,3
613,1,128,1,20,2,52,2,2,3,1,3,4,1,2,3,2
404,1,121,0,20,1,20,3,2,1,3,1,1,2,2,3,2
613,1,119,1,20,1,35,2,2,3,1,3,4,1,2,3,2
725,1,123,1,20,1,40,2,2,1,2,2,4,2,2,2,3
725,1,135,1,19,2,59,2,2,1,2,2,4,2,2,2,3
725,1,131,0,19,1,67,2,2,1,2,2,4,2,2,2,3
613,1,110,1,18,2,37,2,2,3,1,3,4,1,2,3,2
725,1,133,1,19,2,32,2,2,1,2,2,4,2,2,2,3
613,1,127,1,18,2,39,2,2,3,1,3,4,1,2,3,2
613,1,140,0,18,2,23,2,2,3,1,3,4,1,2,3,2
613,1,83,1,19,2,30,2,2,3,1,3,4,1,2,3,2
725,1,130,1,19,1,35,2,2,1,2,2,4,2,2,2,3
725,1,72,0,20,2,31,2,2,1,2,2,4,2,2,2,3
613,1,125,1,19,2,39,2,2,3,1,3,4,1,2,3,2
725,1,134,0,19,2,25,2,2,1,2,2,4,2,2,2,3
725,1,127,0,18,2,25,2,2,1,2,2,4,2,2,2,3
725,1,139,0,18,2,43,2,2,1,2,2,4,2,2,2,3
252,1,139,1,18,2,30,3,4,3,2,3,3,2,4,2,3
613,1,120,1,18,2,39,2,2,3,1,3,4,1,2,3,2
725,1,136,0,19,2,67,2,2,1,2,2,4,2,2,2,3
3405,1,141,1,17,2,39,3,2,1,4,4,4,1,2,2,3
613,1,125,1,19,2,33,2,2,3,1,3,4,1,2,3,2
404,2,136,0,19,1,44,3,2,1,3,1,1,2,2,3,2
613,2,121,1,20,1,37,2,2,3,1,3,4,1,2,3,2
404,2,136,0,19,1,44,3,2,1,3,1,1,2,2,3,2
725,2,119,1,20,2,25,2,2,1,2,2,4,2,2,2,3
613,2,120,1,19,2,44,2,2,3,1,3,4,1,2,3,2
613,2,133,0,20,1,22,2,2,3,1,3,4,1,2,3,2
613,2,127,0,19,1,28,2,2,3,1,3,4,1,2,3,2
613,2,118,0,19,1,20,2,2,3,1,3,4,1,2,3,2
725,2,109,1,21,2,32,2,2,1,2,2,4,2,2,2,3
725,2,109,1,21,2,32,2,2,1,2,2,4,2,2,2,3
725,2,140,0,20,1,20,2,2,1,2,2,4,2,2,2,3
725,2,112,1,21,2,25,2,2,1,2,2,4,2,2,2,3
725,2,131,0,19,1,20,2,2,1,2,2,4,2,2,2,3
613,2,114,0,21,1,21,2,2,3,1,3,4,1,2,3,2
725,2,125,0,21,1,50,2,2,1,2,2,4,2,2,2,3
725,2,135,0,20,1,58,2,2,1,2,2,4,2,2,2,3
613,2,122,0,19,1,20,2,2,3,1,3,4,1,2,3,2
613,2,136,1,20,1,44,2,2,3,1,3,4,1,2,3,2
613,2,120,0,20,1,20,2,2,3,1,3,4,1,2,3,2
613,2,123,0,20,1,24,2,2,3,1,3,4,1,2,3,2
252,2,70,1,20,2,27,3,4,3,2,3,3,2,4,2,3
252,2,113,1,21,1,37,3,4,3,2,3,3,2,4,2,3
404,2,135,0,20,1,20,3,2,1,3,1,1,2,2,3,2
725,2,137,0,20,1,20,2,2,1,2,2,4,2,2,2,3
725,2,115,1,20,1,28,2,2,1,2,2,4,2,2,2,3
